,Class ID,Preferred Label,Synonyms,Definitions,Parents
2117,http://edamontology.org/format_3821,VisML,VisANT xml|VisANT xml format,"Default XML format of VisANT, containing all the network information.",http://edamontology.org/format_2332|http://edamontology.org/format_2013
2118,http://edamontology.org/format_3822,GML,GML format,"GML (Graph Modeling Language) is a text file format supporting network data with a very easy syntax. It is used by Graphlet, Pajek, yEd, LEDA and NetworkX.",http://edamontology.org/format_2013|http://edamontology.org/format_2330
2119,http://edamontology.org/format_3823,FASTG,FASTG assembly graph format,"FASTG is a format for faithfully representing genome assemblies in the face of allelic polymorphism and assembly uncertainty.|It is called FASTG, like FASTA, but the G stands for ""graph"".",http://edamontology.org/format_2330|http://edamontology.org/format_2561
2120,http://edamontology.org/format_3824,NMR data format,Nuclear magnetic resonance spectroscopy data format|NMR peak assignment data|Processed NMR data format|Raw NMR data format|NMR raw data format|NMR processed data format,Data format for raw data from a nuclear magnetic resonance (NMR) spectroscopy experiment.,http://edamontology.org/format_2350
2121,http://edamontology.org/format_3825,nmrML,,nmrML is an MSI supported XML-based open access format for metabolomics NMR raw and processed spectral data. It is accompanies by an nmrCV (controlled vocabulary) to allow ontology-based annotations.,http://edamontology.org/format_2332|http://edamontology.org/format_3824
2122,http://edamontology.org/format_3826,proBAM,,". proBAM is an adaptation of BAM (format_2572), which was extended to meet specific requirements entailed by proteomics data.",http://edamontology.org/format_2920|http://edamontology.org/format_2057|http://edamontology.org/format_2333
2123,http://edamontology.org/format_3827,proBED,,". proBED is an adaptation of BED (format_3003), which was extended to meet specific requirements entailed by proteomics data.",http://edamontology.org/format_2919|http://edamontology.org/format_2330
2124,http://edamontology.org/format_3828,Raw microarray data format,Microarray data format,Data format for raw microarray data.,http://edamontology.org/format_2350
2125,http://edamontology.org/format_3829,GPR,,GenePix Results (GPR) text file format developed by Axon Instruments that is used to save GenePix Results data.,http://edamontology.org/format_3828|http://edamontology.org/format_2330
2126,http://edamontology.org/format_3830,ARB,ARB binary format,Binary format used by the ARB software suite,http://edamontology.org/format_1921|http://edamontology.org/format_2333
2127,http://edamontology.org/format_3832,consensusXML,,OpenMS format for grouping features in one map or across several maps.,http://edamontology.org/format_3245|http://edamontology.org/format_2332
2128,http://edamontology.org/format_3833,featureXML,,OpenMS format for quantitation results (LC/MS features).,http://edamontology.org/format_3245|http://edamontology.org/format_2332
2129,http://edamontology.org/format_3834,mzData,,Now deprecated data format of the HUPO Proteomics Standards Initiative.  Replaced by mzML (format_3244).,http://edamontology.org/format_3245|http://edamontology.org/format_2332
2130,http://edamontology.org/format_3835,TIDE TXT,,Format supported by the Tide tool for identifying peptides from tandem mass spectra.,http://edamontology.org/format_3245|http://edamontology.org/format_2332
2131,http://edamontology.org/format_3836,BLAST XML v2 results format,,XML format as produced by the NCBI Blast package v2.,http://edamontology.org/format_1333|http://edamontology.org/format_2332
2132,http://edamontology.org/format_3838,pptx,,Microsoft Powerpoint format.,http://edamontology.org/format_2332|http://edamontology.org/format_3547
2133,http://edamontology.org/format_3839,ibd,,"ibd is a data format for mass spectrometry imaging data.|imzML data is recorded in 2 files: '.imzXML' is a metadata XML file based on mzML by HUPO-PSI, and '.ibd' is a binary file containing the mass spectra.",http://edamontology.org/format_3245|http://edamontology.org/format_2333
2134,http://edamontology.org/format_3841,NLP format,Natural Language Processing format,Data format used in Natural Language Processing.,http://edamontology.org/format_2350
2135,http://edamontology.org/format_3843,BEAST,,XML input file format for BEAST Software (Bayesian Evolutionary Analysis Sampling Trees).,http://edamontology.org/format_2552|http://edamontology.org/format_2332
2136,http://edamontology.org/format_3844,Chado-XML,,Chado-XML format is a direct mapping of the Chado relational schema into XML.,http://edamontology.org/format_2552|http://edamontology.org/format_2332
2137,http://edamontology.org/format_3845,HSAML,,"An alignment format generated by PRANK/PRANKSTER consisting of four elements: newick, nodes, selection and model.",http://edamontology.org/format_2332|http://edamontology.org/format_2555
2138,http://edamontology.org/format_3846,InterProScan XML,,Output xml file from the InterProScan sequence analysis application.,http://edamontology.org/format_3097|http://edamontology.org/format_2332
2139,http://edamontology.org/format_3847,KGML,KEGG Markup Language,"The KEGG Markup Language (KGML) is an exchange format of the KEGG pathway maps, which is converted from internally used KGML+ (KGML+SVG) format.",http://edamontology.org/format_2332|http://edamontology.org/format_2013
2140,http://edamontology.org/format_3848,PubMed XML,MEDLINE XML,XML format for collected entries from biobliographic databases MEDLINE and PubMed.,http://edamontology.org/format_2332|http://edamontology.org/format_2848
2141,http://edamontology.org/format_3849,MSAML,,A set of XML compliant markup components for describing multiple sequence alignments.,http://edamontology.org/format_1921|http://edamontology.org/format_2333
2142,http://edamontology.org/format_3850,OrthoXML,,OrthoXML is designed broadly to allow the storage and comparison of orthology data from any ortholog database. It establishes a structure for describing orthology relationships while still allowing flexibility for database-specific information to be encapsulated in the same format.,http://edamontology.org/format_2552|http://edamontology.org/format_2332|http://edamontology.org/format_2031
2143,http://edamontology.org/format_3851,PSDML,,Tree structure of Protein Sequence Database Markup Language generated using Matra software.,http://edamontology.org/format_2332|http://edamontology.org/format_1920
2144,http://edamontology.org/format_3852,SeqXML,,"SeqXML is an XML Schema to describe biological sequences, developed by the Stockholm Bioinformatics Centre.",http://edamontology.org/format_2552|http://edamontology.org/format_2332
2145,http://edamontology.org/format_3853,UniParc XML,,XML format for the UniParc database.,http://edamontology.org/format_2332|http://edamontology.org/format_1920
2146,http://edamontology.org/format_3854,UniRef XML,,XML format for the UniRef reference clusters.,http://edamontology.org/format_2332|http://edamontology.org/format_1920
2147,http://edamontology.org/format_3857,CWL,CommonWL|Common Workflow Language,Common Workflow Language (CWL) format for description of command-line tools and workflows.,http://edamontology.org/format_2032|http://edamontology.org/format_3750
2148,http://edamontology.org/format_3858,Waters RAW,,"Proprietary file format for mass spectrometry data from Waters.|Proprietary format for which documentation is not available, but used by multiple tools.",http://edamontology.org/format_3245|http://edamontology.org/format_2333
2149,http://edamontology.org/format_3859,JCAMP-DX,,"A standardized file format for data exchange in mass spectrometry, initially developed for infrared spectrometry.|JCAMP-DX is an ASCII based format and therefore not very compact even though it includes standards for file compression.",http://edamontology.org/format_3245|http://edamontology.org/format_2330
2150,http://edamontology.org/format_3862,NLP annotation format,,An NLP format used for annotated textual documents.,http://edamontology.org/format_3841
2151,http://edamontology.org/format_3863,NLP corpus format,,NLP format used by a specific type of corpus (collection of texts).,http://edamontology.org/format_3862
2152,http://edamontology.org/format_3864,mirGFF3,miRTop format,"mirGFF3 is a common format for microRNA data resulting from small-RNA RNA-Seq workflows.|mirGFF3 is a specialisation of GFF3; produced by small-RNA-Seq analysis workflows, usable and convertible with the miRTop API (https://mirtop.readthedocs.io/en/latest/), and consumable by tools for downstream analysis.",http://edamontology.org/format_1975|http://edamontology.org/format_3865
2153,http://edamontology.org/format_3865,RNA annotation format,RNA data format|microRNA data format|miRNA data format,"A ""placeholder"" concept for formats of annotated RNA data, including e.g. microRNA and RNA-Seq data.",http://edamontology.org/format_2350
2154,http://edamontology.org/format_3866,Trajectory format,CG trajectory formats|Protein trajectory formats|MD trajectory formats|NA trajectory formats,"File format to store trajectory information for a 3D structure .|Formats differ on what they are able to store (coordinates, velocities, topologies) and how they are storing it (raw, compressed, textual, binary).",http://edamontology.org/format_2350
2155,http://edamontology.org/format_3867,Trajectory format (binary),,Binary file format to store trajectory information for a 3D structure .,http://edamontology.org/format_3866
2156,http://edamontology.org/format_3868,Trajectory format (text),,Textual file format to store trajectory information for a 3D structure .,http://edamontology.org/format_3866
2157,http://edamontology.org/format_3873,HDF,,"HDF is the name of a set of file formats and libraries designed to store and organize large amounts of numerical data, originally developed at the National Center for Supercomputing Applications at the University of Illinois.|HDF is currently supported by many commercial and non-commercial software platforms such as Java, MATLAB/Scilab, Octave, Python and R.",http://edamontology.org/format_3867|http://edamontology.org/format_2333
2158,http://edamontology.org/format_3874,PCAzip,,"PCAZip format is a binary compressed file to store atom coordinates based on Essential Dynamics (ED) and Principal Component Analysis (PCA).|The compression is made projecting the Cartesian snapshots collected along the trajectory into an orthogonal space defined by the most relevant eigenvectors obtained by diagonalization of the covariance matrix (PCA). In the compression/decompression process, part of the original information is lost, depending on the final number of eigenvectors chosen. However, with a reasonable choice of the set of eigenvectors the compression typically reduces the trajectory file to less than one tenth of their original size with very acceptable loss of information. Compression with PCAZip can only be applied to unsolvated structures.",http://edamontology.org/format_3867|http://edamontology.org/format_2333
2159,http://edamontology.org/format_3875,XTC,,"Portable binary format for trajectories produced by GROMACS package.|XTC uses the External Data Representation (xdr) routines for writing and reading data which were created for the Unix Network File System (NFS). XTC files use a reduced precision (lossy) algorithm which works multiplying the coordinates by a scaling factor (typically 1000), so converting them to pm (GROMACS standard distance unit is nm). This allows an integer rounding of the values. Several other tricks are performed, such as making use of atom proximity information: atoms close in sequence are usually close in space (e.g. water molecules). That makes XTC format the most efficient in terms of disk usage, in most cases reducing by a factor of 2 the size of any other binary trajectory format.",http://edamontology.org/format_3867|http://edamontology.org/format_2333
2160,http://edamontology.org/format_3876,TNG,Trajectory Next Generation format,"Trajectory Next Generation (TNG) is a format for storage of molecular simulation data. It is designed and implemented by the GROMACS development group, and it is called to be the substitute of the XTC format.|Fully architecture-independent format, regarding both endianness and the ability to mix single/double precision trajectories and I/O libraries. Self-sufficient, it should not require any other files for reading, and all the data should be contained in a single file for easy transport. Temporal compression of data, improving the compression rate of the previous XTC format. Possibility to store meta-data with information about the simulation. Direct access to a particular frame. Efficient parallel I/O.",http://edamontology.org/format_3867|http://edamontology.org/format_2333
2161,http://edamontology.org/format_3877,XYZ,,"The XYZ chemical file format is widely supported by many programs, although many slightly different XYZ file formats coexist (Tinker XYZ, UniChem XYZ, etc.). Basic information stored for each atom in the system are x, y and z coordinates and atom element/atomic number.|XYZ files are structured in this way:  First line contains the number of atoms in the file.  Second line contains a title, comment, or filename. Remaining lines contain atom information. Each line starts with the element symbol, followed by x, y and z coordinates in angstroms separated by whitespace. Multiple molecules or frames can be contained within one file, so it supports trajectory storage. XYZ files can be directly represented by a molecular viewer, as they contain all the basic information needed to build the 3D model.",http://edamontology.org/format_2033|http://edamontology.org/format_3868|http://edamontology.org/format_2330
2162,http://edamontology.org/format_3878,mdcrd,AMBER trajectory format|inpcrd,"AMBER trajectory (also called mdcrd), with 10 coordinates per line and format F8.3 (fixed point notation with field width 8 and 3 decimal places).",http://edamontology.org/format_2033|http://edamontology.org/format_3868|http://edamontology.org/format_2330
2163,http://edamontology.org/format_3879,Topology format,Protein topology format|NA topology format|MD topology format|CG topology format,"Format of topology files; containing the static information of a structure molecular system that is needed for a molecular simulation.|Many different file formats exist describing structural molecular topology. Tipically, each MD package or simulation software works with their own implementation (e.g. GROMACS top, CHARMM psf, AMBER prmtop).",http://edamontology.org/format_2350
2164,http://edamontology.org/format_3880,GROMACS top,,"GROMACS MD package top textual files define an entire structure system topology, either directly, or by including itp files.|There is currently no tool available for conversion between GROMACS topology format and other formats, due to the internal differences in both approaches. There is, however, a method to convert small molecules parameterized with AMBER force-field into GROMACS format, allowing simulations of these systems with GROMACS MD package.",http://edamontology.org/format_3879|http://edamontology.org/format_2033|http://edamontology.org/format_2330
2165,http://edamontology.org/format_3881,AMBER top,AMBER Parm7|Parm7|Prmtop|Prmtop7|AMBER Parm,"AMBER Prmtop file (version 7) is a structure topology text file divided in several sections designed to be parsed easily using simple Fortran code. Each section contains particular topology information, such as atom name, charge, mass, angles, dihedrals, etc.|version 7 is written to distinguish it from old versions of AMBER Prmtop. Similarly to HDF5, it is a completely different format, according to AMBER group: a drastic change to the file format occurred with the 2004 release of Amber 7 (http://ambermd.org/prmtop.pdf)|It can be modified manually, but as the size of the system increases, the hand-editing becomes increasingly complex. AMBER Parameter-Topology file format is used extensively by the AMBER software suite and is referred to as the Prmtop file for short.",http://edamontology.org/format_3879|http://edamontology.org/format_2033|http://edamontology.org/format_2330
2166,http://edamontology.org/format_3882,PSF,,"X-Plor Protein Structure Files (PSF) are structure topology files used by NAMD and CHARMM molecular simulations programs. PSF files contain six main sections of interest: atoms, bonds, angles, dihedrals, improper dihedrals (force terms used to maintain planarity) and cross-terms.|The high similarity in the functional form of the two potential energy functions used by AMBER and CHARMM force-fields gives rise to the possible use of one force-field within the other MD engine. Therefore, the conversion of PSF files to AMBER Prmtop format is possible with the use of AMBER chamber (CHARMM - AMBER) program.",http://edamontology.org/format_3879|http://edamontology.org/format_2033|http://edamontology.org/format_2330
2167,http://edamontology.org/format_3883,GROMACS itp,,"GROMACS itp files (include topology) contain structure topology information, and are tipically included in GROMACS topology files (GROMACS top). Itp files are used to define individual (or multiple) components of a topology as a separate file. This is particularly useful if there is a molecule that is used frequently, and also reduces the size of the system topology file, splitting it in different parts.|GROMACS itp files are used also to define position restrictions on the molecule, or to define the force field parameters for a particular ligand.",http://edamontology.org/format_3879|http://edamontology.org/format_3884|http://edamontology.org/format_2033|http://edamontology.org/format_2330
2168,http://edamontology.org/format_3884,FF parameter format,,"Format of force field parameter files, which store the set of parameters (charges, masses, radii, bond lengths, bond dihedrals, etc.) that are essential for the proper description and simulation of a molecular system.|Many different file formats exist describing force field parameters. Tipically, each MD package or simulation software works with their own implementation (e.g. GROMACS itp, CHARMM rtf, AMBER off / frcmod).",http://edamontology.org/format_2350
2169,http://edamontology.org/format_3885,BinPos,Scripps Research Institute BinPos,"Scripps Research Institute BinPos format is a binary formatted file to store atom coordinates.|It is basically a translation of the ASCII atom coordinate format to binary code. The only additional information stored is a magic number that identifies the BinPos format and the number of atoms per snapshot. The remainder is the chain of coordinates binary encoded. A drawback of this format is its architecture dependency. Integers and floats codification depends on the architecture, thus it needs to be converted if working in different platforms (little endian, big endian).",http://edamontology.org/format_3867|http://edamontology.org/format_2333
2170,http://edamontology.org/format_3886,RST,restrt|rst7,AMBER coordinate/restart file with 6 coordinates per line and decimal format F12.7 (fixed point notation with field width 12 and 7 decimal places),http://edamontology.org/format_2033|http://edamontology.org/format_3868|http://edamontology.org/format_2330
2171,http://edamontology.org/format_3887,CHARMM rtf,,"Format of CHARMM Residue Topology Files (RTF), which define groups by including the atoms, the properties of the group, and bond and charge information.|There is currently no tool available for conversion between GROMACS topology format and other formats, due to the internal differences in both approaches. There is, however, a method to convert small molecules parameterized with AMBER force-field into GROMACS format, allowing simulations of these systems with GROMACS MD package.",http://edamontology.org/format_3879|http://edamontology.org/format_2033|http://edamontology.org/format_2330
2172,http://edamontology.org/format_3888,AMBER frcmod,,AMBER frcmod (Force field Modification) is a file format to store any modification to the standard force field needed for a particular molecule to be properly represented in the simulation.,http://edamontology.org/format_3884|http://edamontology.org/format_2330
2173,http://edamontology.org/format_3889,AMBER off,AMBER Object File Format|AMBER lib,AMBER Object File Format library files (OFF library files) store residue libraries (forcefield residue parameters).,http://edamontology.org/format_3884|http://edamontology.org/format_2330
2174,http://edamontology.org/format_3906,NMReDATA,,"MReData is a text based data standard for processed NMR data. It is relying on SDF molecule data and allows to store assignments of NMR peaks to molecule features.  The NMR-extracted data (or ""NMReDATA"") includes: Chemical shift,scalar coupling, 2D correlation, assignment, etc.|NMReData is a text based data standard for processed NMR data. It is relying on SDF molecule data and allows to store assignments of NMR peaks to molecule features. The NMR-extracted data (or ""NMReDATA"") includes: Chemical shift,scalar coupling, 2D correlation, assignment, etc. Find more in the paper at D. Jeannerat, Magn. Reson. in Chem., 2017, 55, 7-14.",http://edamontology.org/format_2330|http://edamontology.org/format_3824
2175,http://edamontology.org/format_3909,BpForms,,"BpForms is a string format for concretely representing the primary structures of biopolymers, including DNA, RNA, and proteins that include non-canonical nucleic and amino acids. See https://www.bpforms.org for more information.",http://edamontology.org/format_2035|http://edamontology.org/format_2571|http://edamontology.org/format_2330
2176,http://edamontology.org/format_3910,trr,,Format of trr files that contain the trajectory of a simulation experiment used by GROMACS.,http://edamontology.org/format_2033|http://edamontology.org/format_3868|http://edamontology.org/format_2330
2177,http://edamontology.org/format_3911,msh,Mash sketch|min-hash sketch,"Mash sketch is a format for sequence / sequence checksum information. To make a sketch, each k-mer in a sequence is hashed, which creates a pseudo-random identifier. By sorting these hashes, a small subset from the top of the sorted list can represent the entire sequence.",http://edamontology.org/format_2571|http://edamontology.org/format_2333
2178,http://edamontology.org/format_3913,Loom,,"The Loom file format is based on HDF5, a standard for storing large numerical datasets. The Loom format is designed to efficiently hold large omics datasets. Typically, such data takes the form of a large matrix of numbers, along with metadata for the rows and columns.",http://edamontology.org/format_2058|http://edamontology.org/format_3590
2179,http://edamontology.org/format_3915,Zarr,,"The Zarr format is an implementation of chunked, compressed, N-dimensional arrays for storing data.",http://edamontology.org/format_2058|http://edamontology.org/format_3033|http://edamontology.org/format_2333
2180,http://edamontology.org/format_3916,MTX,,The Matrix Market matrix (MTX) format stores numerical or pattern matrices in a dense (array format) or sparse (coordinate format) representation.,http://edamontology.org/format_2058|http://edamontology.org/format_3033|http://edamontology.org/format_2330
2181,http://edamontology.org/format_3951,BcForms,,"BcForms is a format for abstractly describing the molecular structure (atoms and bonds) of macromolecular complexes as a collection of subunits and crosslinks. Each subunit can be described with BpForms (http://edamontology.org/format_3909) or SMILES (http://edamontology.org/data_2301). BcForms uses an ontology of crosslinks to abstract the chemical details of crosslinks from the descriptions of complexes (see https://bpforms.org/crosslink.html).|BcForms is related to http://edamontology.org/format_3909. (BcForms uses BpForms to describe subunits which are DNA, RNA, or protein polymers.) However, that format isn't the parent of BcForms. BcForms is similarly related to SMILES (http://edamontology.org/data_2301).",http://edamontology.org/format_2062|http://edamontology.org/format_2330|http://edamontology.org/format_2030
2182,http://edamontology.org/format_3956,N-Quads,,"N-Quads is a line-based, plain text format for encoding an RDF dataset. It includes information about the graph each triple belongs to.|N-Quads should not be confused with N-Triples which does not contain graph information.",http://edamontology.org/format_2376|http://edamontology.org/format_2330
2183,http://edamontology.org/format_3969,Vega,,"Vega is a visualization grammar, a declarative language for creating, saving, and sharing interactive visualization designs. With Vega, you can describe the visual appearance and interactive behavior of a visualization in a JSON format, and generate web-based views using Canvas or SVG.",http://edamontology.org/format_3464|http://edamontology.org/format_3547
2184,http://edamontology.org/format_3970,Vega-lite,,Vega-Lite is a high-level grammar of interactive graphics. It provides a concise JSON syntax for rapidly generating visualizations to support analysis. Vega-Lite specifications can be compiled to Vega specifications.,http://edamontology.org/format_3464|http://edamontology.org/format_3547
2185,http://edamontology.org/format_3971,NeuroML,,A model description language for computational neuroscience.,http://edamontology.org/format_2332|http://edamontology.org/format_2013
2186,http://edamontology.org/format_3972,BNGL,BioNetGen Language,"BioNetGen is a format for the specification and simulation of rule-based models of biochemical systems, including signal transduction, metabolic, and genetic regulatory networks.",http://edamontology.org/format_2013|http://edamontology.org/format_2330
2187,http://edamontology.org/format_3973,Docker image format,,"A Docker image is a file, comprised of multiple layers, that is used to execute code in a Docker container. An image is essentially built from the instructions for a complete and executable version of an application, which relies on the host OS kernel.",http://edamontology.org/format_2571|http://edamontology.org/format_2333
2188,http://edamontology.org/format_3975,GFA 1,,"Graphical Fragment Assembly captures sequence graphs as the product of an assembly, a representation of variation in genomes, splice graphs in genes, or even overlap between reads from long-read sequencing technology.",http://edamontology.org/format_2330|http://edamontology.org/format_2561
2189,http://edamontology.org/format_3976,GFA 2,,"Graphical Fragment Assembly captures sequence graphs as the product of an assembly, a representation of variation in genomes, splice graphs in genes, or even overlap between reads from long-read sequencing technology.",http://edamontology.org/format_2330|http://edamontology.org/format_2561
2190,http://edamontology.org/format_3977,ObjTables,,"ObjTables is a toolkit for creating re-usable datasets that are both human and machine-readable, combining the ease of spreadsheets (e.g., Excel workbooks) with the rigor of schemas (classes, their attributes, the type of each attribute, and the possible relationships between instances of classes). ObjTables consists of a format for describing schemas for spreadsheets, numerous data types for science, a syntax for indicating the class and attribute represented by each table and column in a workbook, and software for using schemas to rigorously validate, merge, split, compare, and revision datasets.",http://edamontology.org/format_3620
2191,http://edamontology.org/format_3978,CONTIG,,The CONTIG format used for output of the SOAPdenovo alignment program. It contains contig sequences generated without using mate pair information.,http://edamontology.org/format_2551|http://edamontology.org/format_2330
2192,http://edamontology.org/format_3979,WEGO,,WEGO native format used by the Web Gene Ontology Annotation Plot application.   Tab-delimited format with gene names and others GO IDs (columns) with one annotation record per line.,http://edamontology.org/format_3475|http://edamontology.org/format_2031
2193,http://edamontology.org/format_3980,RPKM,Gene expression levels table format,"Tab-delimited format for gene expression levels table, calculated as Reads Per Kilobase per Million (RPKM) mapped reads.|For example a 1kb transcript with 1000 alignments in a sample of 10 million reads (out of which 8 million reads can be mapped) will have RPKM = 1000/(1 * 8) = 125",http://edamontology.org/format_2058|http://edamontology.org/format_3475
2194,http://edamontology.org/format_3981,TAR format,Tarball|TAR,TAR archive file format generated by the Unix-based utility tar.|For example a 1kb transcript with 1000 alignments in a sample of 10 million reads (out of which 8 million reads can be mapped) will have RPKM = 1000/(1 * 8) = 125,http://edamontology.org/format_2333
2195,http://edamontology.org/format_3982,CHAIN,,The CHAIN format describes a pairwise alignment that allow gaps in both sequences simultaneously and is used by the UCSC Genome Browser.,http://edamontology.org/format_2920|http://edamontology.org/format_2330
2196,http://edamontology.org/format_3983,NET,,The NET file format is used to describe the data that underlie the net alignment annotations in the UCSC Genome Browser.,http://edamontology.org/format_1920|http://edamontology.org/format_2330
2197,http://edamontology.org/format_3984,QMAP,,Format of QMAP files generated for methylation data from an internal BGI pipeline.,http://edamontology.org/format_1920|http://edamontology.org/format_2330
2198,http://edamontology.org/format_3985,gxformat2,GalaxyWF|Galaxy workflow format,An emerging format for high-level Galaxy workflow description.,http://edamontology.org/format_2032|http://edamontology.org/format_2330
2199,http://edamontology.org/format_3986,WMV,Windows movie file format|Windows Media Video format,The proprietary native video format of various Microsoft programs such as Windows Media Player.,http://edamontology.org/format_2333|http://edamontology.org/format_3547
2200,http://edamontology.org/format_3987,ZIP format,ZIP,ZIP is an archive file format that supports lossless data compression.|A ZIP file may contain one or more files or directories that may have been compressed.,http://edamontology.org/format_2333
2201,http://edamontology.org/format_3988,LSM,,"Zeiss' proprietary image format based on TIFF.|LSM files are the default data export for the Zeiss LSM series confocal microscopes (e.g. LSM 510, LSM 710). In addition to the image data, LSM files contain most imaging settings.",http://edamontology.org/format_2333|http://edamontology.org/format_3547
2202,http://edamontology.org/format_3989,GZIP format,GNU Zip,GNU zip compressed file format common to Unix-based operating systems.,http://edamontology.org/format_2333
2203,http://edamontology.org/format_3990,AVI,Audio Video Interleaved,"Audio Video Interleaved (AVI) format is a multimedia container format for AVI files, that allows synchronous audio-with-video playback.",http://edamontology.org/format_2333|http://edamontology.org/format_3547
2204,http://edamontology.org/format_3991,TrackDB,,A declaration file format for UCSC browsers track dataset display charateristics.,http://edamontology.org/format_2919|http://edamontology.org/format_2333
2205,http://edamontology.org/format_3992,CIGAR format,CIGAR,Compact Idiosyncratic Gapped Alignment Report format is a compressed (run-length encoded) pairwise alignment format. It is useful for representing long (e.g. genomic) pairwise alignments.,http://edamontology.org/format_2920|http://edamontology.org/format_2330
2206,http://edamontology.org/format_3993,Stereolithography format,stl,STL is a file format native to the stereolithography CAD software created by 3D Systems.  The format is used to save and share surface-rendered 3D images and also for 3D printing.,http://edamontology.org/format_2333|http://edamontology.org/format_3547
2207,http://edamontology.org/format_3994,U3D,Universal 3D format|Universal 3D,"U3D (Universal 3D) is a compressed file format and data structure for 3D computer graphics. It contains 3D model information such as triangle meshes, lighting, shading, motion data, lines and points with color and structure.",http://edamontology.org/format_2333|http://edamontology.org/format_3547
2208,http://edamontology.org/format_3995,Texture file format,,Bitmap image format used for storing textures.|Texture files can create the appearance of different surfaces and can be applied to both 2D and 3D objects. Note the file extension .tex is also used for LaTex documents which are a completely different format and they are NOT interchangable.,http://edamontology.org/format_2333|http://edamontology.org/format_3547
2209,http://edamontology.org/format_3996,Python script,Python|Python program,Format for scripts writtenin Python - a widely used high-level programming language for general-purpose programming.,http://edamontology.org/format_2032|http://edamontology.org/format_2330
2210,http://edamontology.org/format_3997,MPEG-4,MP4,A digital multimedia container format most commonly used to store video and audio.,http://edamontology.org/format_2333|http://edamontology.org/format_3547
2211,http://edamontology.org/format_3998,Perl script,Perl|Perl program,"Format for scripts written in Perl - a family of high-level, general-purpose, interpreted, dynamic programming languages.",http://edamontology.org/format_2032|http://edamontology.org/format_2330
2212,http://edamontology.org/format_3999,R script,R|R program,Format for scripts written in the R language - an open source programming language and software environment for statistical computing and graphics that is supported by the R Foundation for Statistical Computing.,http://edamontology.org/format_2032|http://edamontology.org/format_2330
2213,http://edamontology.org/format_4000,R markdown,,A file format for making dynamic documents (R Markdown scripts) with the R language.,http://edamontology.org/format_2032|http://edamontology.org/format_2330
2214,http://edamontology.org/format_4001,NIFTI format,NIFTI,An open file format from the Neuroimaging Informatics Technology Initiative (NIfTI) commonly used to store brain imaging data obtained using Magnetic Resonance Imaging (MRI) methods.,http://edamontology.org/format_2333|http://edamontology.org/format_3547
2215,http://edamontology.org/format_4002,pickle,,Format used by Python pickle module for serializing and de-serializing a Python object structure.,http://edamontology.org/format_2333
2216,http://edamontology.org/format_4003,NumPy format,NumPy,The standard binary file format used by NumPy - a fundamental package for scientific computing with Python - for persisting a single arbitrary NumPy array on disk. The format stores all of the shape and dtype information necessary to reconstruct the array correctly.,http://edamontology.org/format_2333
2217,http://edamontology.org/format_4004,SimTools repertoire file format,,Format of repertoire (archive) files that can be read by SimToolbox (a MATLAB toolbox for structured illumination fluorescence microscopy) or alternatively extracted with zip file archiver software.,http://edamontology.org/format_2333
2218,http://edamontology.org/format_4005,Configuration file format,,A configuration file used by various programs to store settings that are specific to their respective software.,http://edamontology.org/format_2330
2219,http://edamontology.org/format_4006,Zstandard format,Zstandard compression format|Zstandard-compressed file format,Format used by the Zstandard real-time compression algorith.,http://edamontology.org/format_2333
2220,http://edamontology.org/format_4007,MATLAB script,MATLAB,The file format for MATLAB scripts or functions.,http://edamontology.org/format_2032|http://edamontology.org/format_2330
2221,http://edamontology.org/operation_0004,Operation,Function|Computational procedure|Computational subroutine|Computational operation|Function (programming)|Lambda abstraction|Mathematical function|Mathematical operation|Computational method|Computational tool|sumo:Function|Process,"A function that processes a set of inputs and results in a set of outputs, or associates arguments (inputs) with values (outputs).|Special cases are: a) An operation that consumes no input (has no input arguments). Such operation is either a constant function, or an operation depending only on the underlying state. b) An operation that may modify the underlying state but has no output. c) The singular-case operation with no input or output, that still may modify the underlying state.",http://www.w3.org/2002/07/owl#Thing
2222,http://edamontology.org/operation_0224,Query and retrieval,Database retrieval|Query,Search or query a data resource and retrieve entries and / or annotation.,http://edamontology.org/operation_2409
2224,http://edamontology.org/operation_0226,Annotation,,"Annotate an entity (typically a biological or biomedical database entity) with terms from a controlled vocabulary.|This is a broad concept and is used a placeholder for other, more specific concepts.",http://edamontology.org/operation_0004
2225,http://edamontology.org/operation_0227,Indexing,Database indexing|Data indexing,Generate an index of (typically a file of) biological data.,http://edamontology.org/operation_0004
2228,http://edamontology.org/operation_0230,Sequence generation,Sequence generation (nucleic acid)|Sequence generation (protein),Generate a molecular sequence by some means.,http://edamontology.org/operation_3429|http://edamontology.org/operation_2403
2229,http://edamontology.org/operation_0231,Sequence editing,,"Edit or change a molecular sequence, either randomly or specifically.",http://edamontology.org/operation_3096|http://edamontology.org/operation_2403
2230,http://edamontology.org/operation_0232,Sequence merging,Sequence splicing|Paired-end stitching|Read merging|Read stitching|Paired-end merging,Merge two or more (typically overlapping) molecular sequences.,http://edamontology.org/operation_0231
2231,http://edamontology.org/operation_0233,Sequence conversion,,Convert a molecular sequence from one type to another.,http://edamontology.org/operation_3434|http://edamontology.org/operation_0231
2232,http://edamontology.org/operation_0234,Sequence complexity calculation,,"Calculate sequence complexity, for example to find low-complexity regions in sequences.",http://edamontology.org/operation_0236
